code,name,市场类型
002409,雅克科技,深圳
002410,广联达,深圳
002412,汉森制药,深圳
002413,雷科防务,深圳
002414,高德红外,深圳
002415,海康威视,深圳
002416,爱施德,深圳
002418,康盛股份,深圳
002419,天虹股份,深圳
002420,毅昌科技,深圳
002421,达实智能,深圳
002422,科伦药业,深圳
002423,中粮资本,深圳
002424,贵州百灵,深圳
002425,ST凯文,深圳
002426,胜利精密,深圳
002427,尤夫股份,深圳
002428,云南锗业,深圳
002429,兆驰股份,深圳
002430,杭氧股份,深圳
002431,棕榈股份,深圳
002432,九安医疗,深圳
002434,万里扬,深圳
002436,兴森科技,深圳
002437,誉衡药业,深圳
002438,江苏神通,深圳
002439,启明星辰,深圳
002440,闰土股份,深圳
002441,众业达,深圳
002442,龙星科技,深圳
002443,金洲管道,深圳
002444,巨星科技,深圳
002445,中南文化,深圳
002446,盛路通信,深圳
002448,中原内配,深圳
002449,国星光电,深圳
002451,摩恩电气,深圳
002452,长高电新,深圳
002453,华软科技,深圳
002454,松芝股份,深圳
002455,百川股份,深圳
002456,欧菲光,深圳
002457,青龙管业,深圳
002458,益生股份,深圳
002459,晶澳科技,深圳
002460,赣锋锂业,深圳
002461,珠江啤酒,深圳
002462,嘉事堂,深圳
002463,沪电股份,深圳
002465,海格通信,深圳
002466,天齐锂业,深圳
002467,二六三,深圳
002468,申通快递,深圳
002469,三维化学,深圳
002470,金正大,深圳
002471,中超控股,深圳
002472,双环传动,深圳
002474,榕基软件,深圳
002475,立讯精密,深圳
002476,宝莫股份,深圳
002478,常宝股份,深圳
002479,富春环保,深圳
002480,新筑股份,深圳
002481,双塔食品,深圳
002482,广田集团,深圳
002483,润邦股份,深圳
002484,江海股份,深圳
002485,ST雪发,深圳
002486,嘉麟杰,深圳
002487,大金重工,深圳
002488,金固股份,深圳
002489,浙江永强,深圳
002490,山东墨龙,深圳
002491,通鼎互联,深圳
002492,恒基达鑫,深圳
002493,荣盛石化,深圳
002494,华斯股份,深圳
002495,佳隆股份,深圳
002496,*ST辉丰,深圳
002497,雅化集团,深圳
002498,汉缆股份,深圳
002500,山西证券,深圳
002501,利源股份,深圳
002506,协鑫集成,深圳
002507,涪陵榨菜,深圳
002508,老板电器,深圳
002510,天汽模,深圳
002511,中顺洁柔,深圳
002512,达华智能,深圳
002513,蓝丰生化,深圳
002514,宝馨科技,深圳
002515,金字火腿,深圳
002516,旷达科技,深圳
002517,恺英网络,深圳
002518,科士达,深圳
002519,银河电子,深圳
002520,日发精机,深圳
002521,齐峰新材,深圳
002522,浙江众成,深圳
002523,天桥起重,深圳
002524,光正眼科,深圳
002526,山东矿机,深圳
002527,新时达,深圳
002528,ST英飞拓,深圳
002529,*ST海源,深圳
002530,金财互联,深圳
002531,天顺风能,深圳
002532,天山铝业,深圳
002533,金杯电工,深圳
002534,西子洁能,深圳
002535,林州重机,深圳
002536,飞龙股份,深圳
002537,海联金汇,深圳
002538,司尔特,深圳
002539,云图控股,深圳
002540,亚太科技,深圳
002541,鸿路钢构,深圳
002542,中化岩土,深圳
002543,万和电气,深圳
002544,普天科技,深圳
002545,东方铁塔,深圳
002546,新联电子,深圳
002547,春兴精工,深圳
002548,金新农,深圳
002549,凯美特气,深圳
002550,千红制药,深圳
002551,尚荣医疗,深圳
002552,宝鼎科技,深圳
002553,南方精工,深圳
002554,惠博普,深圳
002555,三七互娱,深圳
002556,辉隆股份,深圳
002557,洽洽食品,深圳
002558,巨人网络,深圳
002559,亚威股份,深圳
002560,通达股份,深圳
002561,徐家汇,深圳
002562,兄弟科技,深圳
002563,森马服饰,深圳
002564,天沃科技,深圳
002565,顺灏股份,深圳
002566,益盛药业,深圳
002567,唐人神,深圳
002568,百润股份,深圳
002569,*ST步森,深圳
002570,贝因美,深圳
002571,德力股份,深圳
002572,索菲亚,深圳
002573,清新环境,深圳
002574,明牌珠宝,深圳
002575,群兴玩具,深圳
002576,通达动力,深圳
002577,雷柏科技,深圳
002578,闽发铝业,深圳
002579,中京电子,深圳
002580,圣阳股份,深圳
002581,ST未名,深圳
002582,好想你,深圳
002583,海能达,深圳
002584,西陇科学,深圳
002585,双星新材,深圳
002586,*ST围海,深圳
002587,奥拓电子,深圳
002588,史丹利,深圳
002589,瑞康医药,深圳
002590,万安科技,深圳
